TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;VL_PATRIM_LIQ
FAPI;02.010.153/0001-45;BB FAPI FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL RESPONSABILIDADE LIMITADA;2024-05-31;15853864.84
FAPI;02.177.812/0001-32;ITAÚ FAPI FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL RENDA FIXA - CRÉDITO PRIVADO RESP LIMITADA;2024-05-31;74740982.40
FAPI;02.177.815/0001-76;ITAÚ FAPI CONSERVADOR FAPI MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;2024-05-31;2061100.85
FAPI;02.185.027/0001-21;BRADESCO FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL FAPI FIX;2024-05-31;570436638.14
FAPI;02.226.122/0001-26;UNIBANCO FAPI CONSERVADOR MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;2024-05-31;4460.41
FAPI;02.297.533/0001-02;BRADESCO FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL FAPI RENDA FIXA PLUS;2024-05-31;17882314.17
FAPI;02.661.252/0001-97;FAPI AGGRESSIVE IB MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;2024-05-31;2396477.41
FAPI;02.661.267/0001-55;FAPI BALANCED IB MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;2024-05-31;8184061.46
FAPI;02.661.317/0001-02;FAPI CAPITAL PRESERVATION IB MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;2024-05-31;8826286.35
FAPI;02.661.339/0001-64;FAPI CONSERVATIVE IB MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;2024-05-31;10990840.36
FAPI;03.564.825/0001-27;SICREDI FAPI COMPOSTO - FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL - RESPONSABILIDADE LIMITADA;2024-05-31;75632319.55
